po_number,document_type,company_code,purchasing_org,purchasing_group,supplier_id,po_date,currency,created_by,release_status,header_status,payment_terms,incoterms,last_change_date
4500002001,NB,US01,PO01,PG1,VEND-001,2026-05-10,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-10
4500002002,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002003,NB,US01,PO01,PG1,VEND-001,2026-04-15,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-04-15
4500002004,NB,US01,PO01,PG1,VEND-001,2026-04-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-04-01
4500002005,NB,US01,PO01,PG2,VEND-001,2026-06-01,USD,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-06-01
4500002006,NB,US01,PO01,PG1,VEND-001,2026-05-15,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-15
4500002007,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002008,NB,US01,PO01,PG2,VEND-001,2026-05-05,USD,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-05-05
4500002009,NB,US01,PO01,PG1,VEND-001,2026-05-02,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-02
4500002010,NB,US01,PO01,PG2,VEND-002,2026-05-12,USD,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-05-12
4500002011,NB,US01,PO01,PG1,VEND-001,2026-06-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-06-01
4500002012,NB,US01,PO01,PG1,VEND-001,2026-04-10,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-04-10
4500002013,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002014,NB,US01,PO01,PG2,VEND-002,2026-05-15,USD,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-05-15
4500002015,NB,US01,PO01,PG1,VEND-001,2026-05-10,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-10
4500002016,NB,US01,PO01,PG1,VEND-001,2026-04-10,USD,Alex Buyer,RELEASED,CLOSED,NET30,FCA,2026-04-10
4500002017,NB,US01,PO01,PG1,VEND-001,2026-05-10,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-10
4500002018,NB,US01,PO01,PG1,VEND-001,2026-05-10,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-10
4500002019,NB,EU01,PO02,PG2,VEND-003,2026-01-15,EUR,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-01-15
4500002020,NB,EU01,PO02,PG2,VEND-003,2026-02-01,EUR,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-02-01
4500002021,NB,US01,PO01,PG1,VEND-001,2026-05-20,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-20
4500002022,NB,US01,PO01,PG2,VEND-002,2026-04-10,USD,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-04-10
4500002023,NB,US01,PO01,PG1,VEND-001,2026-04-20,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-04-20
4500002024,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002025,NB,EU01,PO02,PG2,VEND-003,2026-03-01,EUR,Sarah Planner,RELEASED,OPEN,NET30,FCA,2026-03-01
4500002026,NB,US01,PO01,PG1,VEND-001,2026-04-15,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-04-15
4500002027,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002028,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002029,NB,US01,PO01,PG1,VEND-001,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
4500002030,NB,US01,PO01,PG1,,2026-05-01,USD,Alex Buyer,RELEASED,OPEN,NET30,FCA,2026-05-01
