material_id,plant,mrp_type,mrp_controller,procurement_type,planned_delivery_time_days,gr_processing_time_days,safety_stock,reorder_point,lot_size,min_lot_size,rounding_value,source_list_required
M100001,PL01,PD,MC1,F,15,2,200,150,EX,10,10,Y
M100002,PL01,PD,MC1,F,10,1,500,400,EX,50,50,N
M100003,PL02,PD,MC2,F,20,2,100,80,EX,5,5,Y
M100004,PL01,PD,MC1,F,10,1,500,400,EX,50,50,N
S200001,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
S200002,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
S200003,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
S200004,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
S200005,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
S200006,PL03,ND,MC3,F,30,0,0,0,EX,1,1,N
