po_number,item_number,acknowledgement_status,acknowledged_qty,committed_delivery_date,supplier_confirm_number,last_supplier_response_date,response_source,buyer_followup_count
4500002002,00010,ACKNOWLEDGED,500,2026-07-13,CONF_4500002002,2026-07-13,EMAIL,0
4500002003,00010,PARTIALLY_CONFIRMED,200,2026-07-08,CONF_4500002003,2026-07-08,EMAIL,0
4500002004,00010,ACKNOWLEDGED,50,2026-07-09,CONF_4500002004,2026-07-09,EMAIL,0
4500002007,00010,OVERRIDDEN,200,2026-07-06,CONF_4500002007,2026-07-06,EMAIL,0
4500002008,00010,ACKNOWLEDGED,150,2026-06-15,CONF_4500002008,2026-06-15,EMAIL,0
4500002009,00010,ACKNOWLEDGED,400,2026-06-23,CONF_4500002009,2026-06-23,EMAIL,0
4500002010,00010,ACKNOWLEDGED,100,2026-06-11,CONF_4500002010,2026-06-11,EMAIL,0
4500002011,00010,ACKNOWLEDGED,1000,2026-05-19,CONF_4500002011,2026-05-19,EMAIL,0
4500002012,00010,ACKNOWLEDGED,500,2026-06-08,CONF_4500002012,2026-06-08,EMAIL,0
4500002016,00010,ACKNOWLEDGED,300,2026-06-16,CONF_4500002016,2026-06-16,EMAIL,0
4500002018,00010,ACKNOWLEDGED,10,2026-07-28,CONF_4500002018,2026-07-28,EMAIL,0
4500002019,00010,ACKNOWLEDGED,100,2026-06-23,CONF_4500002019,2026-06-23,EMAIL,0
4500002024,00010,ACKNOWLEDGED,200,2026-07-08,CONF_4500002024,2026-07-08,EMAIL,0
4500002025,00010,ACKNOWLEDGED,5,2026-08-02,CONF_4500002025,2026-08-02,EMAIL,0
4500002026,00010,UNACKNOWLEDGED,0,,,,NONE,3
4500002027,00010,ACKNOWLEDGED,75,2026-06-03,CONF_4500002027,2026-06-03,EMAIL,0
4500002028,00010,ACKNOWLEDGED,600,2026-05-29,CONF_4500002028,2026-05-29,EMAIL,0
4500002031,00010,ACKNOWLEDGED,130,2026-07-06,CONF_4500002031,2026-07-06,EMAIL,0
4500002033,00010,ACKNOWLEDGED,8,2026-06-25,CONF_4500002033,2026-06-25,EMAIL,0
