asn_number,po_number,item_number,schedule_line,supplier_id,shipped_qty,ship_date,expected_delivery_date,carrier,tracking_number,status,last_status_update
ASN00000001,4500000001,00010,0001,S100030,40,,2026-06-13,FedEx,F581CECF-7C6,PENDING_PICKUP,2026-05-26
ASN00000002,4500000001,00010,0002,S100030,289,2026-05-20,2026-06-26,DHL,8E065BE7-5F7,DELAYED,2026-05-27
ASN00000003,4500000001,00030,0001,S100030,4,,2026-06-08,FedEx,8FB87DB3-10F,PENDING_PICKUP,2026-05-28
ASN00000004,4500000001,00030,0002,S100030,12,,2026-06-06,DHL,3FD6B72D-AA1,PENDING_PICKUP,2026-05-28
ASN00000005,4500000001,00040,0001,S100030,1,2026-05-24,2026-05-27,UPS,E0F9006B-4CE,IN_TRANSIT,2026-05-23
ASN00000006,4500000001,00040,0003,S100030,34,2026-05-27,2026-06-09,Local Carrier,56FB8F89-C4B,IN_TRANSIT,2026-05-25
ASN00000007,4500000001,00050,0001,S100030,5,,2026-06-08,Maersk,6B298D99-AD2,CANCELLED,2026-05-24
ASN00000008,4500000002,00010,0002,S100037,247,,2026-05-25,FedEx,6D872337-8C8,NOT_SHIPPED,2026-05-26
ASN00000009,4500000002,00020,0002,S100037,57,2026-05-21,2026-06-06,UPS,E5B74768-ABB,DELAYED,2026-05-27
ASN00000010,4500000002,00020,0003,S100037,399,2026-05-22,2026-06-07,Local Carrier,51FDC9B5-361,DELIVERED,2026-05-27
ASN00000011,4500000002,00030,0001,S100037,6,2026-05-22,2026-06-10,FedEx,7C92CBFB-1A6,CUSTOMS_HOLD,2026-05-23
ASN00000012,4500000002,00030,0002,S100037,22,2026-05-21,2026-06-07,Maersk,B26CBF01-CA4,DELAYED,2026-05-25
ASN00000013,4500000002,00040,0001,S100037,29,2026-05-23,2026-06-13,DHL,92F408DC-F23,CUSTOMS_HOLD,2026-05-25
ASN00000014,4500000002,00040,0002,S100037,18,2026-05-18,2026-06-21,Maersk,77C186FA-ECE,CUSTOMS_HOLD,2026-05-23
ASN00000015,4500000002,00050,0002,S100037,311,2026-05-27,2026-06-15,DHL,12034973-04B,DELIVERED,2026-05-26
ASN00000016,4500000003,00030,0001,S100022,117,2026-05-19,2026-06-10,DHL,F9EBF117-9D1,IN_TRANSIT,2026-05-24
ASN00000017,4500000003,00030,0003,S100022,193,2026-05-23,2026-06-03,Maersk,6BAC86BF-95B,DELIVERED,2026-05-24
ASN00000018,4500000003,00040,0001,S100022,15,,2026-05-31,DHL,F74B601A-C3A,PENDING_PICKUP,2026-05-24
