exception_id,exception_type,severity,status,po_number,item_number,material_id,plant,supplier_id,detected_on,due_date,days_past_due,root_cause,financial_impact_estimate,assigned_buyer
EX00000001,PO_OVERDUE,HIGH,IN_REVIEW,4500000001,00030,M500292,DAL1,S100030,2026-06-30,2026-06-12,18,Open schedule quantity 5 is past due by 18 days.,46.85,LGARCIA
EX00000002,PO_OVERDUE,MEDIUM,NEW,4500000001,00030,M500292,DAL1,S100030,2026-06-30,2026-06-25,5,Open schedule quantity 22 is past due by 5 days.,206.14,LGARCIA
EX00000003,PO_OVERDUE,HIGH,NEW,4500000001,00040,M500255,AUS1,S100030,2026-06-30,2026-06-14,16,Open schedule quantity 1 is past due by 16 days.,22.57,LGARCIA
EX00000004,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000002,00020,M500125,MTY1,S100037,2026-06-30,2026-06-06,24,Open schedule quantity 63 is past due by 24 days.,2281.23,MWONG
EX00000005,PO_OVERDUE,HIGH,IN_REVIEW,4500000002,00030,M500017,DAL1,S100037,2026-06-30,2026-06-11,19,Open schedule quantity 11 is past due by 19 days.,151.91,MWONG
EX00000006,PO_OVERDUE,MEDIUM,NEW,4500000002,00030,M500017,DAL1,S100037,2026-06-30,2026-06-24,6,Open schedule quantity 47 is past due by 6 days.,649.07,MWONG
EX00000007,PO_OVERDUE,MEDIUM,NEW,4500000002,00030,M500017,DAL1,S100037,2026-06-30,2026-06-25,5,Open schedule quantity 24 is past due by 5 days.,331.44,MWONG
EX00000008,PO_OVERDUE,HIGH,NEW,4500000002,00040,M500171,AUS1,S100037,2026-06-30,2026-06-11,19,Open schedule quantity 17 is past due by 19 days.,186.15,MWONG
EX00000009,PO_OVERDUE,HIGH,NEW,4500000003,00010,M500140,KCH1,S100022,2026-06-30,2026-06-15,15,Open schedule quantity 8 is past due by 15 days.,28.88,JSMITH
EX00000010,ACK_MISSING,MEDIUM,IN_REVIEW,4500000003,00020,M500008,KCH1,S100022,2026-06-30,2026-04-23,68,Supplier acknowledgement missing after PO creation.,0.00,JSMITH
EX00000011,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000003,00020,M500008,KCH1,S100022,2026-06-30,2026-05-01,60,Open schedule quantity 143 is past due by 60 days.,1801.80,JSMITH
EX00000012,PO_OVERDUE,HIGH,NEW,4500000003,00030,M500098,PHX1,S100022,2026-06-30,2026-05-11,50,Open schedule quantity 112 is past due by 50 days.,1945.44,JSMITH
EX00000013,SUPPLIER_COMMIT_LATE,HIGH,NEW,4500000003,00030,M500098,PHX1,S100022,2026-06-30,2026-05-08,53,Supplier committed date is later than requested delivery date.,0.00,JSMITH
EX00000014,PO_OVERDUE,HIGH,NEW,4500000003,00040,M500047,KCH1,S100022,2026-06-30,2026-06-06,24,Open schedule quantity 17 is past due by 24 days.,318.24,JSMITH
EX00000015,PO_OVERDUE,HIGH,RESOLVED,4500000003,00040,M500047,KCH1,S100022,2026-06-30,2026-06-16,14,Open schedule quantity 118 is past due by 14 days.,2208.96,JSMITH
EX00000016,PO_OVERDUE,HIGH,NEW,4500000003,00050,M500276,PHX1,S100022,2026-06-30,2026-06-19,11,Open schedule quantity 36 is past due by 11 days.,242.28,JSMITH
EX00000017,PO_OVERDUE,HIGH,ACTION_DRAFTED,4500000003,00050,M500276,PHX1,S100022,2026-06-30,2026-04-18,73,Open schedule quantity 6 is past due by 73 days.,40.38,JSMITH
EX00000018,PO_OVERDUE,HIGH,RESOLVED,4500000003,00050,M500276,PHX1,S100022,2026-06-30,2026-04-02,89,Open schedule quantity 32 is past due by 89 days.,215.36,JSMITH
