material_doc,material_doc_year,po_number,item_number,movement_type,posting_date,received_qty,plant,storage_location,batch_number,created_by,reference_doc
5000000001,2026,4500000001,00030,101,2026-05-12,65,DAL1,0001,B51126,SYSTEM,4500000001
5000000002,2026,4500000001,00030,101,2026-05-31,108,DAL1,0001,B85520,WHUSER1,4500000001
5000000003,2026,4500000001,00040,101,2026-05-20,7,AUS1,0001,,WHUSER1,4500000001
5000000004,2026,4500000002,00010,101,2026-06-21,150,KCH1,0001,,WHUSER2,4500000002
5000000005,2026,4500000002,00010,101,2026-06-21,341,KCH1,0001,,SYSTEM,4500000002
5000000006,2026,4500000002,00020,101,2026-07-04,308,MTY1,0001,,SYSTEM,4500000002
5000000007,2026,4500000002,00020,101,2026-05-10,120,MTY1,0001,,SYSTEM,4500000002
5000000008,2026,4500000002,00020,122,2026-07-01,727,MTY1,0001,,SYSTEM,4500000002
5000000009,2026,4500000002,00030,101,2026-05-12,18,DAL1,0001,,WHUSER2,4500000002
5000000010,2026,4500000002,00030,101,2026-05-28,39,DAL1,0001,,WHUSER2,4500000002
5000000011,2026,4500000002,00030,101,2026-05-26,861,DAL1,0001,,WHUSER1,4500000002
5000000012,2026,4500000002,00040,101,2026-06-10,74,AUS1,0001,,RFSCAN,4500000002
5000000013,2026,4500000002,00040,101,2026-05-27,98,AUS1,0001,,RFSCAN,4500000002
5000000014,2026,4500000002,00040,101,2026-05-23,145,AUS1,0001,,SYSTEM,4500000002
5000000015,2026,4500000002,00050,101,2026-07-15,284,AUS1,0001,,WHUSER2,4500000002
5000000016,2026,4500000002,00050,101,2026-07-14,372,AUS1,0001,,WHUSER1,4500000002
5000000017,2026,4500000003,00010,101,2026-05-17,92,KCH1,0001,,RFSCAN,4500000003
5000000018,2026,4500000003,00020,101,2026-03-24,924,KCH1,0001,,WHUSER1,4500000003
5000000019,2026,4500000003,00020,101,2026-03-31,150,KCH1,0001,,SYSTEM,4500000003
5000000020,2026,4500000003,00020,122,2026-05-27,783,KCH1,0001,,SYSTEM,4500000003
5000000021,2026,4500000003,00030,101,2026-04-11,93,PHX1,0001,,WHUSER2,4500000003
5000000022,2026,4500000003,00030,101,2026-04-09,177,PHX1,0001,,SYSTEM,4500000003
5000000023,2026,4500000003,00030,101,2026-04-18,889,PHX1,0001,,RFSCAN,4500000003
5000000024,2026,4500000003,00040,103,2026-05-06,100,KCH1,0001,,WHUSER2,4500000003
5000000025,2026,4500000003,00040,101,2026-05-18,265,KCH1,0001,,SYSTEM,4500000003
5000000026,2026,4500000003,00050,101,2026-05-24,1,PHX1,0001,B74558,SYSTEM,4500000003
5000000027,2026,4500000003,00050,101,2026-03-20,8,PHX1,0001,B79631,WHUSER2,4500000003
5000000028,2026,4500000003,00050,101,2026-03-03,117,PHX1,0001,B83458,WHUSER2,4500000003
5000000029,2026,4500000004,00010,105,2026-02-19,2000,MTY1,0001,,RFSCAN,4500000004
5000000030,2026,4500000004,00020,101,2026-04-16,118,DAL1,0001,,WHUSER2,4500000004
5000000031,2026,4500000004,00020,101,2026-05-07,550,DAL1,0001,,WHUSER1,4500000004
5000000032,2026,4500000004,00030,101,2026-03-16,46,DAL1,0001,B25068,SYSTEM,4500000004
5000000033,2026,4500000004,00030,101,2026-03-22,22,DAL1,0001,B27049,SYSTEM,4500000004
5000000034,2026,4500000004,00030,101,2026-03-25,118,DAL1,0001,B87370,SYSTEM,4500000004
5000000035,2026,4500000004,00040,101,2026-04-01,11,AUS1,0001,B16608,WHUSER2,4500000004
5000000036,2026,4500000004,00040,101,2026-04-11,39,AUS1,0001,B37116,RFSCAN,4500000004
5000000037,2026,4500000004,00040,101,2026-04-12,114,AUS1,0001,B19434,WHUSER2,4500000004
5000000038,2026,4500000004,00050,101,2026-02-15,80,DAL1,REC1,,SYSTEM,4500000004
5000000039,2026,4500000004,00050,101,2026-02-18,897,DAL1,0001,,SYSTEM,4500000004
5000000040,2026,4500000004,00060,101,2026-03-21,108,MTY1,0001,,SYSTEM,4500000004
5000000041,2026,4500000004,00060,101,2026-05-19,35,MTY1,0001,,WHUSER1,4500000004
5000000042,2026,4500000004,00060,101,2026-03-23,191,MTY1,0001,,RFSCAN,4500000004
5000000043,2026,4500000005,00010,103,2026-05-25,35,KCH1,0001,,WHUSER1,4500000005
5000000044,2026,4500000005,00010,101,2026-05-28,1965,KCH1,0001,,WHUSER1,4500000005
5000000045,2026,4500000005,00030,103,2026-05-14,19,MTY1,0001,,WHUSER2,4500000005
