movement_id,material_id,plant,storage_location,movement_type,posting_date,quantity,reference_doc
IM000000001,M500292,DAL1,0001,101,2026-05-12,65,5000000001
IM000000002,M500292,DAL1,0001,101,2026-05-31,108,5000000002
IM000000003,M500255,AUS1,0001,101,2026-05-20,7,5000000003
IM000000004,M500139,KCH1,0001,101,2026-06-21,150,5000000004
IM000000005,M500139,KCH1,0001,101,2026-06-21,341,5000000005
IM000000006,M500125,MTY1,0001,101,2026-07-04,308,5000000006
IM000000007,M500125,MTY1,0001,101,2026-05-10,120,5000000007
IM000000008,M500125,MTY1,0001,101,2026-07-01,727,5000000008
IM000000009,M500017,DAL1,0001,101,2026-05-12,18,5000000009
IM000000010,M500017,DAL1,0001,101,2026-05-28,39,5000000010
IM000000011,M500017,DAL1,0001,101,2026-05-26,861,5000000011
IM000000012,M500171,AUS1,0001,101,2026-06-10,74,5000000012
IM000000013,M500171,AUS1,0001,101,2026-05-27,98,5000000013
IM000000014,M500171,AUS1,0001,101,2026-05-23,145,5000000014
IM000000015,M500053,AUS1,0001,101,2026-07-15,284,5000000015
IM000000016,M500053,AUS1,0001,101,2026-07-14,372,5000000016
IM000000017,M500140,KCH1,0001,101,2026-05-17,92,5000000017
IM000000018,M500008,KCH1,0001,101,2026-03-24,924,5000000018
IM000000019,M500008,KCH1,0001,101,2026-03-31,150,5000000019
IM000000020,M500008,KCH1,0001,101,2026-05-27,783,5000000020
IM000000021,M500098,PHX1,0001,101,2026-04-11,93,5000000021
IM000000022,M500098,PHX1,0001,101,2026-04-09,177,5000000022
IM000000023,M500098,PHX1,0001,101,2026-04-18,889,5000000023
IM000000024,M500047,KCH1,0001,101,2026-05-06,100,5000000024
IM000000025,M500047,KCH1,0001,101,2026-05-18,265,5000000025
IM000000026,M500276,PHX1,0001,101,2026-05-24,1,5000000026
IM000000027,M500276,PHX1,0001,101,2026-03-20,8,5000000027
IM000000028,M500276,PHX1,0001,101,2026-03-03,117,5000000028
IM000000029,M500121,MTY1,0001,101,2026-02-19,2000,5000000029
IM000000030,M500025,DAL1,0001,101,2026-04-16,118,5000000030
IM000000031,M500025,DAL1,0001,101,2026-05-07,550,5000000031
IM000000032,M500176,DAL1,0001,101,2026-03-16,46,5000000032
IM000000033,M500176,DAL1,0001,101,2026-03-22,22,5000000033
