material_id,plant,storage_location,unrestricted_stock,quality_stock,blocked_stock,in_transit_stock,last_count_date,cycle_count_indicator,rfid_detected_qty
M500017,KCH1,0001,112,0,0,0,2026-02-14,B,109
M500017,KCH1,0002,79,0,0,0,2026-03-08,C,84
M500017,KCH1,QI01,487,0,0,0,2026-04-17,A,487
M500017,KCH1,BLK1,54,0,86,0,2026-03-16,B,66
M500017,KCH1,REC1,265,0,0,0,2026-03-20,B,270
M500221,DAL1,0001,13,0,0,0,2026-03-02,A,10
M500221,DAL1,0002,0,0,0,0,2026-04-27,C,0
M500221,DAL1,QI01,177,0,0,0,2026-02-14,C,177
M500221,DAL1,BLK1,167,0,2,0,2026-05-13,B,167
M500221,DAL1,REC1,0,0,0,0,2026-04-22,C,12
M500161,KCH1,0001,950,0,0,0,2026-04-19,A,955
M500161,KCH1,0002,153,0,0,22,2026-03-05,A,153
M500161,KCH1,QI01,80,0,0,0,2026-03-07,C,80
M500161,KCH1,BLK1,604,0,11,157,2026-04-24,B,604
M500161,KCH1,REC1,0,0,0,0,2026-04-07,B,5
M500218,KCH1,0001,0,0,0,0,2026-03-06,A,0
M500218,KCH1,0002,82,0,0,0,2026-04-10,B,87
M500218,KCH1,QI01,78,121,0,0,2026-04-13,C,78
M500218,KCH1,BLK1,496,0,69,0,2026-04-13,A,508
M500218,KCH1,REC1,593,0,0,0,2026-03-10,C,593
M500136,DAL1,0001,162,0,0,0,2026-02-23,C,162
M500136,DAL1,0002,279,0,0,0,2026-05-19,B,276
M500136,DAL1,QI01,396,0,0,0,2026-04-09,C,396
M500136,DAL1,BLK1,385,0,0,0,2026-04-30,B,385
M500136,DAL1,REC1,0,0,0,0,2026-02-19,B,12
M500011,MTY1,0001,22,0,0,0,2026-03-14,C,22
M500011,MTY1,0002,270,0,0,0,2026-05-22,C,270
M500011,MTY1,QI01,678,22,0,0,2026-04-07,B,678
M500011,MTY1,BLK1,321,0,85,0,2026-05-23,C,318
M500011,MTY1,REC1,306,0,0,0,2026-03-24,B,303
M500274,PHX1,0001,84,0,0,0,2026-04-13,B,89
M500274,PHX1,0002,590,0,0,0,2026-05-02,B,590
M500274,PHX1,QI01,307,0,0,0,2026-02-01,B,319
M500274,PHX1,BLK1,461,0,104,0,2026-04-06,B,458
M500274,PHX1,REC1,394,0,0,0,2026-03-01,B,391
M500200,MTY1,0001,160,0,0,0,2026-04-22,C,160
M500200,MTY1,0002,107,0,0,0,2026-04-08,C,107
M500200,MTY1,QI01,335,73,0,0,2026-04-21,B,340
M500200,MTY1,BLK1,0,0,62,0,2026-03-06,C,0
M500200,MTY1,REC1,107,0,0,0,2026-05-12,C,107
M500112,AUS1,0001,243,0,0,0,2026-02-02,A,248
M500112,AUS1,0002,0,0,0,0,2026-04-01,C,0
M500112,AUS1,QI01,226,105,0,0,2026-02-24,B,226
M500112,AUS1,BLK1,237,0,86,0,2026-04-30,C,237
M500112,AUS1,REC1,212,0,0,0,2026-04-01,B,209
M500152,KCH1,0001,58,0,0,0,2026-04-02,B,70
M500152,KCH1,0002,0,0,0,0,2026-04-29,C,5
M500152,KCH1,QI01,0,0,0,0,2026-02-09,C,12
M500152,KCH1,BLK1,459,0,167,0,2026-02-10,C,459
M500152,KCH1,REC1,127,0,0,0,2026-05-09,B,127
M500132,MTY1,0001,0,0,0,44,2026-04-08,A,0
M500132,MTY1,0002,208,0,0,0,2026-03-20,C,213
M500132,MTY1,QI01,0,0,0,0,2026-05-06,C,0
M500132,MTY1,BLK1,0,0,0,0,2026-04-16,C,0
M500132,MTY1,REC1,398,0,0,0,2026-04-21,C,398
M500093,KCH1,0001,406,0,0,179,2026-02-28,C,406
M500093,KCH1,0002,0,0,0,0,2026-04-05,C,0
M500093,KCH1,QI01,44,0,0,0,2026-04-21,C,44
M500093,KCH1,BLK1,0,0,1,0,2026-03-22,C,0
M500093,KCH1,REC1,0,0,0,0,2026-05-17,B,12
M500263,DAL1,0001,272,0,0,0,2026-03-06,B,284
M500263,DAL1,0002,16,0,0,0,2026-05-27,B,16
M500263,DAL1,QI01,249,54,0,0,2026-04-13,B,246
M500263,DAL1,BLK1,305,0,0,0,2026-02-06,B,305
M500263,DAL1,REC1,82,0,0,0,2026-04-21,C,82
M500055,KCH1,0001,0,0,0,0,2026-04-23,C,0
M500055,KCH1,0002,0,0,0,0,2026-03-06,A,0
M500055,KCH1,QI01,65,92,0,0,2026-03-06,C,77
M500055,KCH1,BLK1,0,0,123,0,2026-03-19,C,0
M500055,KCH1,REC1,174,0,0,0,2026-03-25,C,179
M500296,MTY1,0001,322,0,0,0,2026-02-13,B,319
M500296,MTY1,0002,264,0,0,0,2026-04-10,B,276
M500296,MTY1,QI01,269,81,0,0,2026-04-08,A,269
M500296,MTY1,BLK1,0,0,23,38,2026-02-27,A,0
M500296,MTY1,REC1,283,0,0,0,2026-03-12,C,280
M500119,AUS1,0001,138,0,0,0,2026-03-25,C,138
M500119,AUS1,0002,334,0,0,0,2026-03-28,B,339
M500119,AUS1,QI01,125,58,0,0,2026-01-29,B,137
M500119,AUS1,BLK1,488,0,82,171,2026-03-30,B,485
M500119,AUS1,REC1,0,0,0,0,2026-05-07,B,0
M500149,AUS1,0001,215,0,0,0,2026-02-28,C,215
M500149,AUS1,0002,11,0,0,0,2026-04-03,B,16
M500149,AUS1,QI01,209,0,0,0,2026-05-13,C,214
M500149,AUS1,BLK1,433,0,92,0,2026-02-28,C,433
M500149,AUS1,REC1,112,0,0,0,2026-02-27,C,124
M500063,KCH1,0001,0,0,0,0,2026-05-03,C,0
M500063,KCH1,0002,281,0,0,0,2026-04-14,C,281
M500063,KCH1,QI01,479,0,0,0,2026-02-13,C,479
M500063,KCH1,BLK1,377,0,0,0,2026-02-01,B,377
M500063,KCH1,REC1,191,0,0,0,2026-04-13,C,203
M500105,DAL1,0001,343,0,0,0,2026-03-23,C,343
M500105,DAL1,0002,0,0,0,0,2026-02-11,A,0
M500105,DAL1,QI01,0,0,0,0,2026-05-04,C,5
M500105,DAL1,BLK1,0,0,0,0,2026-03-14,C,0
M500105,DAL1,REC1,496,0,0,0,2026-03-24,C,496
M500158,DAL1,0001,519,0,0,0,2026-03-24,C,519
M500158,DAL1,0002,545,0,0,131,2026-02-28,B,545
M500158,DAL1,QI01,273,52,0,0,2026-02-23,C,278
M500158,DAL1,BLK1,320,0,3,0,2026-03-05,C,320
M500158,DAL1,REC1,193,0,0,0,2026-02-13,C,193
M500209,PHX1,0001,0,0,0,0,2026-02-21,C,0
M500209,PHX1,0002,396,0,0,0,2026-05-17,B,396
M500209,PHX1,QI01,0,108,0,0,2026-03-26,B,0
M500209,PHX1,BLK1,434,0,0,0,2026-05-11,C,439
M500209,PHX1,REC1,459,0,0,0,2026-05-19,B,464
M500245,AUS1,0001,0,0,0,0,2026-05-19,C,0
M500245,AUS1,0002,0,0,0,0,2026-05-25,C,12
M500245,AUS1,QI01,179,0,0,0,2026-04-23,A,179
M500245,AUS1,BLK1,94,0,0,232,2026-05-01,A,91
M500245,AUS1,REC1,277,0,0,0,2026-04-03,A,289
M500279,AUS1,0001,745,0,0,0,2026-03-23,B,745
M500279,AUS1,0002,432,0,0,113,2026-02-09,C,444
M500279,AUS1,QI01,255,0,0,0,2026-04-08,C,255
M500279,AUS1,BLK1,328,0,0,83,2026-05-13,A,325
M500279,AUS1,REC1,230,0,0,0,2026-04-17,B,235
M500104,PHX1,0001,0,0,0,0,2026-05-26,C,0
M500104,PHX1,0002,160,0,0,0,2026-05-11,B,172
M500104,PHX1,QI01,20,29,0,130,2026-03-17,A,20
M500104,PHX1,BLK1,0,0,59,0,2026-02-07,A,-3
M500104,PHX1,REC1,385,0,0,0,2026-03-01,C,385
M500195,MTY1,0001,0,0,0,0,2026-04-27,C,0
M500195,MTY1,0002,253,0,0,0,2026-04-30,C,253
M500195,MTY1,QI01,277,0,0,0,2026-02-22,C,277
M500195,MTY1,BLK1,303,0,0,0,2026-04-01,C,308
M500195,MTY1,REC1,0,0,0,0,2026-04-13,C,-3
M500176,DAL1,0001,55,0,0,0,2026-02-27,B,60
M500176,DAL1,0002,128,0,0,0,2026-03-04,B,128
M500176,DAL1,QI01,372,26,0,0,2026-03-07,C,377
M500176,DAL1,BLK1,0,0,0,0,2026-05-17,C,5
M500176,DAL1,REC1,617,0,0,0,2026-02-24,C,622
M500273,MTY1,0001,73,0,0,143,2026-05-13,A,73
M500273,MTY1,0002,0,0,0,0,2026-03-06,A,-3
M500273,MTY1,QI01,228,59,0,0,2026-05-10,C,228
M500273,MTY1,BLK1,0,0,48,0,2026-02-10,B,0
M500273,MTY1,REC1,200,0,0,0,2026-05-06,A,200
M500084,PHX1,0001,0,0,0,0,2026-02-15,B,0
M500084,PHX1,0002,392,0,0,0,2026-02-04,C,392
M500084,PHX1,QI01,0,0,0,0,2026-03-27,C,0
M500084,PHX1,BLK1,591,0,34,0,2026-05-23,C,591
M500084,PHX1,REC1,303,0,0,0,2026-05-21,C,303
M500099,MTY1,0001,0,0,0,0,2026-05-11,C,-3
M500099,MTY1,0002,0,0,0,0,2026-02-23,B,0
M500099,MTY1,QI01,85,0,0,0,2026-05-02,B,97
M500099,MTY1,BLK1,261,0,20,0,2026-05-20,C,266
M500099,MTY1,REC1,0,0,0,0,2026-02-02,B,0
M500121,AUS1,0001,620,0,0,204,2026-03-07,C,617
M500121,AUS1,0002,411,0,0,0,2026-05-20,A,411
M500121,AUS1,QI01,201,19,0,0,2026-05-17,C,198
