mrp_element_id,material_id,plant,mrp_element_type,mrp_element_ref,requirement_date,receipt_qty,requirement_qty,available_qty_after
MRP000000001,M500196,AUS1,POITEM,4500000001/00010/0001,2026-07-25,51,0,
MRP000000002,M500196,AUS1,POITEM,4500000001/00010/0002,2026-07-29,349,0,
MRP000000003,M500095,DAL1,POITEM,4500000001/00020/0001,2026-06-04,169,0,
MRP000000004,M500095,DAL1,POITEM,4500000001/00020/0002,2026-06-15,831,0,
MRP000000005,M500292,DAL1,POITEM,4500000001/00030/0001,2026-05-10,5,0,
MRP000000006,M500292,DAL1,POITEM,4500000001/00030/0002,2026-05-23,22,0,
MRP000000007,M500255,AUS1,POITEM,4500000001/00040/0001,2026-05-12,1,0,
MRP000000008,M500255,AUS1,POITEM,4500000001/00040/0002,2026-06-23,36,0,
MRP000000009,M500255,AUS1,POITEM,4500000001/00040/0003,2026-06-14,56,0,
MRP000000010,M500190,DAL1,POITEM,4500000001/00050/0001,2026-06-01,10,0,
MRP000000011,M500139,KCH1,POITEM,4500000002/00010/0001,2026-06-22,279,0,
MRP000000012,M500139,KCH1,POITEM,4500000002/00010/0002,2026-06-20,230,0,
MRP000000013,M500125,MTY1,POITEM,4500000002/00020/0001,2026-06-29,416,0,
MRP000000014,M500125,MTY1,POITEM,4500000002/00020/0002,2026-05-04,63,0,
MRP000000015,M500125,MTY1,POITEM,4500000002/00020/0003,2026-06-28,366,0,
MRP000000016,M500017,DAL1,POITEM,4500000002/00030/0001,2026-05-09,11,0,
MRP000000017,M500017,DAL1,POITEM,4500000002/00030/0002,2026-05-22,47,0,
MRP000000018,M500017,DAL1,POITEM,4500000002/00030/0003,2026-05-23,24,0,
MRP000000019,M500171,AUS1,POITEM,4500000002/00040/0001,2026-06-04,66,0,
MRP000000020,M500171,AUS1,POITEM,4500000002/00040/0002,2026-05-09,17,0,
MRP000000021,M500171,AUS1,POITEM,4500000002/00040/0003,2026-05-19,0,0,
MRP000000022,M500053,AUS1,POITEM,4500000002/00050/0001,2026-07-11,0,0,
MRP000000023,M500053,AUS1,POITEM,4500000002/00050/0002,2026-07-08,344,0,
MRP000000024,M500140,KCH1,POITEM,4500000003/00010/0001,2026-05-13,8,0,
MRP000000025,M500008,KCH1,POITEM,4500000003/00020/0001,2026-03-21,0,0,
MRP000000026,M500008,KCH1,POITEM,4500000003/00020/0002,2026-03-29,143,0,
MRP000000027,M500008,KCH1,POITEM,4500000003/00020/0003,2026-03-28,0,0,
MRP000000028,M500098,PHX1,POITEM,4500000003/00030/0001,2026-04-08,112,0,
MRP000000029,M500098,PHX1,POITEM,4500000003/00030/0002,2026-04-05,0,0,
MRP000000030,M500098,PHX1,POITEM,4500000003/00030/0003,2026-04-19,229,0,
MRP000000031,M500047,KCH1,POITEM,4500000003/00040/0001,2026-05-04,17,0,
MRP000000032,M500047,KCH1,POITEM,4500000003/00040/0002,2026-05-14,118,0,
MRP000000033,M500276,PHX1,POITEM,4500000003/00050/0001,2026-05-17,36,0,
MRP000000034,M500276,PHX1,POITEM,4500000003/00050/0002,2026-03-16,6,0,
MRP000000035,M500276,PHX1,POITEM,4500000003/00050/0003,2026-02-28,32,0,
