po_number,document_type,company_code,purchasing_org,purchasing_group,supplier_id,po_date,currency,created_by,release_status,header_status,payment_terms,incoterms,last_change_date
4500000001,NB,1000,CA01,B01,S100030,2026-04-21,USD,LGARCIA,RELEASED,OPEN,2%10NET30,FCA,2026-05-03
4500000002,NB,3000,MX01,B02,S100037,2026-04-24,CAD,MWONG,RELEASED,PARTIAL,2%10NET30,DDP,2026-05-14
4500000003,NB,3000,US01,B02,S100022,2026-02-14,CAD,JSMITH,RELEASED,PARTIAL,NET60,EXW,2026-02-27
4500000004,NB,2000,CA01,B04,S100008,2026-01-28,USD,SYSTEM,IN_APPROVAL,OPEN,NET60,FCA,2026-02-10
4500000005,NB,1000,CA01,B04,S100031,2026-04-29,USD,JSMITH,RELEASED,OPEN,NET45,DDP,2026-05-05
4500000006,NB,2000,MX01,B03,S100033,2026-03-21,USD,MWONG,RELEASED,OPEN,2%10NET30,DAP,2026-03-28
4500000007,UB,3000,US01,B02,S100019,2026-03-13,CAD,SYSTEM,RELEASED,OPEN,NET45,FCA,2026-03-13
4500000008,FO,1000,CA01,B02,S100023,2026-04-03,USD,SYSTEM,RELEASED,OPEN,NET45,DAP,2026-04-19
4500000009,NB,1000,US01,B01,S100034,2026-05-23,USD,MWONG,RELEASED,PARTIAL,NET45,EXW,2026-06-09
4500000010,NB,2000,MX01,B04,S100025,2026-02-03,USD,MWONG,RELEASED,OPEN,NET45,EXW,2026-02-11
4500000011,NB,3000,CA01,B03,S100006,2026-04-20,CAD,LGARCIA,RELEASED,PARTIAL,2%10NET30,DAP,2026-04-22
4500000012,FO,2000,US01,B04,S100011,2026-02-08,USD,APATEL,RELEASED,CLOSED,NET30,EXW,2026-02-11
4500000013,NB,2000,CA01,B01,S100020,2026-04-18,USD,JSMITH,RELEASED,OPEN,NET45,FOB,2026-04-25
4500000014,NB,2000,MX01,B03,S100038,2026-02-15,USD,MWONG,RELEASED,OPEN,NET45,FOB,2026-02-25
4500000015,FO,1000,US01,B01,S100036,2026-04-15,USD,LGARCIA,RELEASED,CANCELLED,NET60,FOB,2026-04-30
4500000016,NB,2000,CA01,B02,S100007,2026-02-18,USD,MWONG,RELEASED,OPEN,2%10NET30,FCA,2026-02-21
4500000017,FO,3000,MX01,B04,S100028,2026-04-16,CAD,JSMITH,RELEASED,CANCELLED,2%10NET30,EXW,2026-04-20
4500000018,NB,2000,CA01,B03,S100046,2026-01-31,USD,MWONG,RELEASED,PARTIAL,2%10NET30,EXW,2026-02-03
4500000019,FO,2000,MX01,B03,S100035,2026-05-09,USD,LGARCIA,RELEASED,PARTIAL,NET45,DDP,2026-05-23
4500000020,UB,1000,CA01,B01,S100003,2026-03-03,USD,APATEL,RELEASED,OPEN,NET45,EXW,2026-03-17
4500000021,NB,3000,MX01,B03,S100028,2026-04-11,CAD,LGARCIA,RELEASED,PARTIAL,2%10NET30,EXW,2026-04-14
4500000022,NB,3000,US01,B04,S100003,2026-03-15,CAD,JSMITH,RELEASED,OPEN,NET45,EXW,2026-03-16
4500000023,NB,1000,US01,B02,S100009,2026-04-11,USD,LGARCIA,RELEASED,PARTIAL,NET60,FOB,2026-04-19
