info_record_id,material_id,supplier_id,plant,purchasing_org,price,currency,price_unit,lead_time_days,min_order_qty,valid_from,valid_to
IR0000001,M500001,S100014,MTY1,MX01,5.69,USD,10,88,100,2025-08-09,2028-07-07
IR0000002,M500001,S100025,MTY1,US01,6.25,USD,1,81,1,2025-12-29,2027-05-11
IR0000003,M500001,S100034,AUS1,US01,6.23,USD,1,53,250,2025-04-29,2027-01-17
IR0000004,M500001,S100019,AUS1,CA01,5.87,USD,1,52,10,2024-06-27,2027-12-04
IR0000005,M500001,S100014,AUS1,CA01,5.77,USD,10,45,100,2025-05-11,2027-12-27
IR0000006,M500001,S100027,AUS1,US01,6.87,USD,10,45,250,2025-10-04,2026-09-12
IR0000007,M500001,S100008,PHX1,US01,5.78,USD,100,47,50,2025-02-03,2028-02-11
IR0000008,M500001,S100018,PHX1,US01,6.64,USD,1,38,50,2024-12-31,2026-09-15
IR0000009,M500001,S100016,KCH1,MX01,7.68,USD,100,78,250,2024-07-28,2028-05-15
IR0000010,M500001,S100049,KCH1,CA01,7.23,USD,100,76,250,2025-09-18,2026-09-15
IR0000011,M500001,S100043,KCH1,CA01,5.55,USD,1,72,100,2025-03-05,2026-08-27
IR0000012,M500001,S100045,DAL1,MX01,6.64,USD,10,62,100,2024-05-15,2027-10-11
IR0000013,M500001,S100018,DAL1,US01,5.93,USD,10,70,100,2024-05-19,2027-03-14
IR0000014,M500001,S100038,DAL1,CA01,6.43,USD,10,76,1,2025-06-16,2028-02-22
IR0000015,M500002,S100007,MTY1,US01,11.73,USD,10,32,1,2024-07-19,2027-01-13
IR0000016,M500002,S100044,KCH1,US01,15.02,USD,1,10,1,2024-08-05,2027-11-20
IR0000017,M500003,S100017,KCH1,CA01,0.48,USD,10,24,1,2026-02-06,2028-04-18
IR0000018,M500003,S100016,AUS1,MX01,0.48,USD,1,59,100,2025-06-06,2028-11-13
IR0000019,M500003,S100040,AUS1,US01,0.48,USD,100,58,100,2025-05-10,2028-03-02
IR0000020,M500003,S100008,AUS1,CA01,0.37,USD,100,76,10,2025-07-11,2027-10-21
IR0000021,M500004,S100001,AUS1,MX01,25.54,USD,100,29,250,2025-02-17,2028-10-05
IR0000022,M500004,S100028,AUS1,US01,25.65,USD,1,33,1,2024-04-05,2027-06-03
IR0000023,M500004,S100045,AUS1,US01,26.00,USD,10,40,1,2025-08-18,2027-03-14
IR0000024,M500004,S100015,MTY1,CA01,34.73,USD,10,27,1,2025-07-23,2027-09-05
IR0000025,M500004,S100040,MTY1,CA01,23.39,USD,10,24,250,2025-09-08,2027-12-24
IR0000026,M500004,S100009,MTY1,US01,24.45,USD,1,29,1,2024-03-19,2027-10-30
IR0000027,M500004,S100003,MTY1,US01,29.24,USD,100,28,50,2025-09-13,2027-10-25
IR0000028,M500004,S100029,KCH1,CA01,29.11,USD,100,17,50,2024-04-12,2028-03-28
IR0000029,M500004,S100011,KCH1,US01,35.98,USD,1,9,100,2025-05-27,2028-05-07
IR0000030,M500004,S100039,KCH1,MX01,29.66,USD,1,21,1,2025-04-21,2027-09-14
IR0000031,M500004,S100004,PHX1,CA01,35.75,USD,100,14,1,2024-08-20,2026-12-19
IR0000032,M500004,S100015,PHX1,MX01,35.29,USD,1,17,1,2024-09-05,2027-02-26
IR0000033,M500004,S100016,DAL1,MX01,30.65,USD,10,18,50,2024-08-15,2028-03-13
IR0000034,M500005,S100012,PHX1,US01,4.71,USD,1,69,10,2024-10-03,2027-03-24
IR0000035,M500005,S100003,PHX1,US01,4.17,USD,100,70,1,2024-05-19,2027-11-21
IR0000036,M500005,S100030,AUS1,US01,4.87,USD,100,78,1,2025-03-09,2026-09-25
IR0000037,M500005,S100011,AUS1,MX01,4.93,USD,100,80,1,2025-03-24,2027-02-10
IR0000038,M500005,S100044,AUS1,US01,4.20,USD,100,98,50,2025-08-07,2027-12-31
IR0000039,M500005,S100041,KCH1,CA01,3.96,USD,100,16,250,2024-06-08,2026-09-21
IR0000040,M500006,S100049,KCH1,MX01,33.17,USD,100,38,50,2025-11-22,2028-03-06
IR0000041,M500006,S100019,KCH1,US01,25.92,USD,10,39,250,2024-09-01,2028-10-20
IR0000042,M500006,S100017,KCH1,CA01,30.38,USD,100,36,100,2026-01-05,2027-07-13
IR0000043,M500006,S100003,MTY1,CA01,36.21,USD,10,24,50,2024-06-14,2026-10-15
IR0000044,M500006,S100024,AUS1,CA01,29.10,USD,1,10,100,2024-09-07,2027-06-03
IR0000045,M500007,S100018,AUS1,CA01,4.58,USD,1,42,100,2025-03-25,2027-09-08
IR0000046,M500007,S100033,AUS1,MX01,3.97,USD,10,25,100,2026-01-06,2028-03-13
IR0000047,M500007,S100016,PHX1,CA01,5.67,USD,1,27,250,2024-05-30,2028-03-19
IR0000048,M500007,S100027,PHX1,US01,4.01,USD,1,11,100,2025-08-12,2027-01-01
IR0000049,M500007,S100034,KCH1,MX01,5.55,USD,100,15,250,2024-08-25,2028-09-20
IR0000050,M500007,S100008,KCH1,US01,5.05,USD,10,16,250,2024-10-20,2028-01-18
IR0000051,M500007,S100036,KCH1,CA01,4.49,USD,1,12,10,2024-04-25,2026-10-30
IR0000052,M500007,S100040,MTY1,MX01,5.54,USD,10,11,10,2024-09-01,2028-04-02
IR0000053,M500007,S100044,MTY1,MX01,4.17,USD,100,18,100,2025-06-14,2027-10-29
IR0000054,M500007,S100019,MTY1,CA01,4.06,USD,1,14,50,2025-11-03,2027-07-09
IR0000055,M500007,S100047,MTY1,US01,4.68,USD,10,11,1,2024-05-12,2027-09-29
IR0000056,M500008,S100026,AUS1,MX01,14.85,USD,1,1,1,2024-03-28,2027-09-07
IR0000057,M500008,S100015,AUS1,CA01,16.62,USD,10,6,250,2024-10-24,2027-09-16
IR0000058,M500008,S100050,DAL1,US01,17.76,USD,100,44,10,2025-07-01,2028-09-12
IR0000059,M500008,S100022,KCH1,MX01,16.05,USD,10,39,1,2024-06-03,2028-08-08
IR0000060,M500008,S100047,KCH1,US01,20.59,USD,1,30,10,2025-04-25,2027-04-27
IR0000061,M500008,S100009,KCH1,MX01,15.86,USD,100,22,100,2024-08-28,2027-05-16
IR0000062,M500008,S100010,MTY1,MX01,17.05,USD,1,41,1,2025-11-13,2028-08-23
IR0000063,M500008,S100007,MTY1,US01,18.05,USD,100,30,100,2024-06-06,2027-03-17
IR0000064,M500009,S100009,AUS1,CA01,6.63,USD,100,31,1,2025-03-24,2027-04-14
IR0000065,M500009,S100026,AUS1,MX01,5.70,USD,10,41,1,2024-06-01,2028-10-13
IR0000066,M500009,S100033,MTY1,US01,4.95,USD,1,9,250,2024-08-29,2026-09-03
IR0000067,M500009,S100027,MTY1,CA01,4.70,USD,1,28,250,2025-03-12,2028-10-31
IR0000068,M500009,S100050,MTY1,MX01,5.39,USD,10,29,100,2026-02-04,2027-05-03
IR0000069,M500009,S100036,MTY1,CA01,6.55,USD,100,12,100,2025-05-23,2028-09-10
IR0000070,M500009,S100040,PHX1,MX01,6.47,USD,1,26,1,2024-03-23,2027-04-01
IR0000071,M500010,S100039,KCH1,CA01,9.86,USD,10,24,10,2024-08-28,2028-06-10
IR0000072,M500010,S100005,KCH1,CA01,13.83,USD,100,21,100,2024-08-24,2027-12-27
IR0000073,M500010,S100008,KCH1,MX01,10.12,USD,1,36,250,2025-08-02,2027-02-16
IR0000074,M500010,S100005,DAL1,US01,9.77,USD,1,8,10,2025-05-12,2027-08-04
IR0000075,M500010,S100016,DAL1,CA01,14.39,USD,1,10,1,2024-09-03,2028-02-25
IR0000076,M500011,S100016,PHX1,MX01,15.64,USD,1,88,100,2024-11-29,2028-11-12
IR0000077,M500011,S100032,PHX1,US01,16.83,USD,1,100,10,2026-01-30,2026-10-08
IR0000078,M500011,S100026,PHX1,CA01,16.89,USD,1,84,100,2025-02-13,2027-09-29
IR0000079,M500011,S100044,AUS1,US01,16.13,USD,10,20,50,2025-03-26,2028-09-27
IR0000080,M500011,S100030,AUS1,MX01,14.71,USD,10,28,1,2025-12-26,2027-11-09
IR0000081,M500011,S100041,MTY1,MX01,16.54,USD,10,3,1,2024-04-29,2027-01-19
IR0000082,M500011,S100032,MTY1,US01,16.30,USD,10,8,50,2025-04-12,2028-03-15
IR0000083,M500011,S100028,MTY1,MX01,17.07,USD,100,18,10,2025-06-19,2027-12-27
IR0000084,M500011,S100049,MTY1,US01,12.64,USD,10,21,1,2024-12-27,2026-10-12
IR0000085,M500012,S100007,MTY1,MX01,1.88,USD,1,36,50,2024-04-05,2027-09-09
IR0000086,M500012,S100019,KCH1,US01,2.64,USD,10,86,250,2025-05-01,2028-04-04
IR0000087,M500012,S100026,AUS1,CA01,2.70,USD,100,85,50,2024-07-11,2028-05-25
IR0000088,M500012,S100049,AUS1,MX01,2.69,USD,100,87,1,2024-08-01,2028-06-13
IR0000089,M500013,S100010,PHX1,US01,19.05,USD,100,9,50,2025-01-20,2028-06-08
IR0000090,M500013,S100035,PHX1,MX01,23.92,USD,1,11,10,2024-09-23,2027-07-09
IR0000091,M500013,S100024,PHX1,US01,20.57,USD,1,19,100,2025-10-30,2027-03-03
IR0000092,M500013,S100027,KCH1,MX01,22.41,USD,10,49,1,2024-05-21,2028-08-11
IR0000093,M500013,S100049,MTY1,MX01,27.26,USD,100,25,250,2025-08-23,2028-10-01
IR0000094,M500013,S100027,MTY1,MX01,24.37,USD,10,38,10,2025-07-07,2027-07-25
IR0000095,M500013,S100002,MTY1,MX01,26.79,USD,1,27,1,2024-09-03,2027-01-14
IR0000096,M500013,S100042,MTY1,MX01,18.75,USD,1,36,250,2025-03-02,2027-10-17
IR0000097,M500014,S100022,DAL1,MX01,4.26,USD,100,89,1,2024-06-23,2028-10-15
IR0000098,M500014,S100002,DAL1,MX01,4.79,USD,10,101,1,2024-08-03,2027-09-21
IR0000099,M500014,S100036,DAL1,MX01,5.03,USD,10,84,10,2025-07-11,2026-09-10
IR0000100,M500014,S100010,DAL1,CA01,5.24,USD,1,89,10,2025-08-07,2028-02-18
IR0000101,M500014,S100026,KCH1,MX01,4.55,USD,1,18,10,2024-06-26,2028-10-25
IR0000102,M500014,S100035,KCH1,US01,5.46,USD,100,31,250,2025-07-03,2026-08-27
IR0000103,M500014,S100010,KCH1,US01,6.22,USD,1,30,250,2025-01-13,2027-09-28
IR0000104,M500015,S100005,PHX1,US01,1.75,USD,1,56,250,2025-08-04,2028-05-13
IR0000105,M500015,S100006,PHX1,MX01,1.98,USD,10,64,250,2025-12-22,2028-05-13
IR0000106,M500015,S100048,AUS1,US01,2.56,USD,100,49,250,2025-03-25,2026-10-20
IR0000107,M500015,S100042,DAL1,CA01,1.72,USD,10,72,100,2025-02-05,2027-04-08
IR0000108,M500015,S100027,DAL1,US01,1.76,USD,10,62,100,2025-05-05,2027-09-30
IR0000109,M500015,S100041,DAL1,US01,2.30,USD,10,58,250,2024-12-23,2028-07-13
IR0000110,M500015,S100010,DAL1,CA01,2.42,USD,10,70,1,2025-11-15,2028-09-27
IR0000111,M500015,S100037,KCH1,CA01,1.72,USD,100,86,50,2024-06-11,2026-11-02
IR0000112,M500015,S100045,KCH1,US01,1.90,USD,1,71,10,2025-12-11,2027-03-13
IR0000113,M500016,S100023,PHX1,MX01,7.38,USD,10,55,10,2025-03-01,2027-10-10
IR0000114,M500016,S100046,PHX1,US01,5.00,USD,1,55,100,2025-09-02,2028-07-20
IR0000115,M500016,S100011,PHX1,CA01,5.45,USD,100,65,10,2025-10-25,2027-04-07
IR0000116,M500016,S100032,MTY1,US01,7.28,USD,100,63,50,2025-10-16,2027-03-08
IR0000117,M500016,S100035,MTY1,MX01,7.48,USD,100,64,1,2024-06-21,2026-10-15
IR0000118,M500016,S100037,MTY1,MX01,4.90,USD,1,67,50,2025-01-08,2027-06-23
