material_id,plant,supplier_id,valid_from,valid_to,fixed_vendor_flag,quota_percent,source_status
M500001,MTY1,S100014,2025-08-09,2028-07-07,N,32,VALID
M500001,MTY1,S100025,2025-12-29,2027-05-11,N,68,VALID
M500001,AUS1,S100034,2025-04-29,2027-01-17,N,17,VALID
M500001,AUS1,S100019,2024-06-27,2027-12-04,N,14,VALID
M500001,AUS1,S100014,2025-05-11,2027-12-27,N,54,VALID
M500001,AUS1,S100027,2025-10-04,2026-09-12,N,15,VALID
M500001,PHX1,S100008,2025-02-03,2028-02-11,N,56,VALID
M500001,PHX1,S100018,2024-12-31,2026-09-15,N,44,VALID
M500001,KCH1,S100016,2024-07-28,2028-05-15,N,69,VALID
M500001,KCH1,S100049,2025-09-18,2026-09-15,N,10,VALID
M500001,KCH1,S100043,2025-03-05,2026-08-27,N,21,VALID
M500001,DAL1,S100045,2024-05-15,2027-10-11,N,22,VALID
M500001,DAL1,S100018,2024-05-19,2027-03-14,N,40,VALID
M500001,DAL1,S100038,2025-06-16,2028-02-22,N,38,VALID
M500002,MTY1,S100007,2024-07-19,2027-01-13,Y,100,VALID
M500002,KCH1,S100044,2024-08-05,2027-11-20,N,100,VALID
M500003,KCH1,S100017,2026-02-06,2028-04-18,N,100,VALID
M500003,AUS1,S100016,2025-06-06,2028-11-13,N,15,VALID
M500003,AUS1,S100040,2025-05-10,2028-03-02,N,54,VALID
M500003,AUS1,S100008,2025-07-11,2027-10-21,N,31,VALID
M500004,AUS1,S100001,2025-02-17,2028-10-05,N,32,VALID
M500004,AUS1,S100028,2024-04-05,2027-06-03,N,11,VALID
M500004,AUS1,S100045,2025-08-18,2027-03-14,N,57,VALID
M500004,MTY1,S100015,2025-07-23,2027-09-05,N,17,VALID
M500004,MTY1,S100040,2025-09-08,2027-12-24,N,63,VALID
M500004,MTY1,S100009,2024-03-19,2027-10-30,N,21,VALID
M500004,MTY1,S100003,2025-09-13,2027-10-25,N,10,VALID
M500004,KCH1,S100029,2024-04-12,2028-03-28,Y,44,BLOCKED
M500004,KCH1,S100011,2025-05-27,2028-05-07,N,30,VALID
M500004,KCH1,S100039,2025-04-21,2027-09-14,N,26,VALID
M500004,PHX1,S100004,2024-08-20,2026-12-19,N,57,VALID
M500004,PHX1,S100015,2024-09-05,2027-02-26,N,43,VALID
M500004,DAL1,S100016,2024-08-15,2028-03-13,Y,100,VALID
M500005,PHX1,S100012,2024-10-03,2027-03-24,Y,37,VALID
M500005,PHX1,S100003,2024-05-19,2027-11-21,N,63,VALID
M500005,AUS1,S100030,2025-03-09,2026-09-25,Y,27,VALID
M500005,AUS1,S100011,2025-03-24,2027-02-10,N,15,VALID
M500005,AUS1,S100044,2025-08-07,2027-12-31,N,58,VALID
M500005,KCH1,S100041,2024-06-08,2026-09-21,N,100,BLOCKED
M500006,KCH1,S100049,2025-11-22,2028-03-06,N,20,VALID
M500006,KCH1,S100019,2024-09-01,2028-10-20,N,41,VALID
M500006,KCH1,S100017,2026-01-05,2027-07-13,N,39,VALID
M500006,MTY1,S100003,2024-06-14,2026-10-15,Y,100,VALID
M500006,AUS1,S100024,2024-09-07,2027-06-03,N,100,VALID
M500007,AUS1,S100018,2025-03-25,2027-09-08,N,24,VALID
M500007,AUS1,S100033,2026-01-06,2028-03-13,N,76,VALID
M500007,PHX1,S100016,2024-05-30,2028-03-19,N,48,VALID
