po_number,item_number,acknowledgement_status,acknowledged_qty,committed_delivery_date,supplier_confirm_number,last_supplier_response_date,response_source,buyer_followup_count
4500000001,00010,PRICE_DISPUTE,343,2026-07-25,SCN475281,2026-04-25,PHONE_NOTE,1
4500000001,00020,PRICE_DISPUTE,423,2026-06-04,SCN537267,2026-04-29,PHONE_NOTE,0
4500000001,00030,MISSING,0,2026-05-10,,,,4
4500000001,00040,QTY_DISPUTE,41,2026-06-16,SCN961489,2026-04-23,REGRELLO,2
4500000001,00050,PARTIAL,5,2026-06-01,SCN689106,2026-04-30,EDI,5
4500000002,00010,ACKNOWLEDGED,875,2026-06-22,SCN149011,2026-04-29,EMAIL,0
4500000002,00020,QTY_DISPUTE,853,2026-06-29,SCN314081,2026-05-01,PHONE_NOTE,0
4500000002,00030,MISSING,0,2026-05-09,,,,1
4500000002,00040,ACKNOWLEDGED,354,2026-06-04,SCN233700,2026-05-05,EDI,1
4500000002,00050,ACKNOWLEDGED,969,2026-07-11,SCN332108,2026-04-30,PHONE_NOTE,2
4500000003,00010,REJECTED,55,,SCN823771,2026-02-26,EDI,2
4500000003,00020,MISSING,0,2026-03-21,,,,1
4500000003,00030,PROMISED_LATE,1301,2026-04-14,SCN268819,2026-02-17,PHONE_NOTE,0
4500000003,00040,MISSING,0,2026-05-04,,,,1
4500000003,00050,PARTIAL,166,2026-03-03,SCN356315,2026-02-25,PHONE_NOTE,1
4500000004,00010,MISSING,0,2026-02-12,,,,5
4500000004,00020,PARTIAL,642,2026-04-08,SCN692510,2026-02-09,REGRELLO,3
4500000004,00030,ACKNOWLEDGED,136,2026-03-10,SCN600572,2026-01-30,PORTAL,2
4500000004,00040,PROMISED_LATE,92,2026-04-26,SCN284606,2026-02-05,EDI,3
4500000004,00050,QTY_DISPUTE,778,2026-02-12,SCN733709,2026-02-04,EDI,0
4500000004,00060,PARTIAL,237,2026-03-18,SCN614060,2026-02-08,EMAIL,3
4500000005,00010,ACKNOWLEDGED,933,2026-05-26,SCN112559,2026-05-05,PHONE_NOTE,0
4500000005,00020,MISSING,0,2026-06-02,,,,0
4500000005,00030,ACKNOWLEDGED,66,2026-07-15,SCN507756,2026-05-06,EDI,0
4500000006,00010,MISSING,0,2026-04-30,,,,4
4500000007,00010,MISSING,0,2026-05-03,,,,5
4500000008,00010,MISSING,0,2026-06-01,,,,4
4500000008,00020,ACKNOWLEDGED,94,2026-07-07,SCN581100,2026-04-11,EDI,0
4500000008,00030,ACKNOWLEDGED,53,2026-05-20,SCN654887,2026-04-09,PHONE_NOTE,0
4500000008,00040,MISSING,0,2026-05-05,,,,4
4500000008,00050,ACKNOWLEDGED,8,2026-04-20,SCN561845,2026-04-14,EDI,0
4500000008,00060,ACKNOWLEDGED,435,2026-06-10,SCN761307,2026-04-15,REGRELLO,1
4500000009,00010,ACKNOWLEDGED,2155,2026-06-20,SCN331180,2026-05-25,EDI,1
4500000009,00020,PROMISED_LATE,884,2026-08-02,SCN358505,2026-06-02,REGRELLO,2
4500000009,00030,ACKNOWLEDGED,1054,2026-07-31,SCN655218,2026-05-25,PORTAL,0
4500000009,00040,PRICE_DISPUTE,167,2026-07-21,SCN636966,2026-05-24,EMAIL,1
4500000009,00050,MISSING,0,2026-06-14,,,,1
4500000009,00060,MISSING,0,2026-08-15,,,,1
4500000009,00070,PARTIAL,978,2026-06-22,SCN443905,2026-05-28,EMAIL,0
4500000010,00010,MISSING,0,2026-05-01,,,,3
4500000010,00020,PROMISED_LATE,11,2026-04-25,SCN899444,2026-02-05,PHONE_NOTE,5
4500000010,00030,MISSING,0,2026-03-24,,,,1
4500000010,00040,PROMISED_LATE,18,2026-04-15,SCN432659,2026-02-05,EMAIL,0
4500000011,00010,ACKNOWLEDGED,41,2026-06-26,SCN697411,2026-04-22,EDI,1
4500000011,00020,MISSING,0,2026-06-22,,,,5
4500000011,00030,PARTIAL,156,2026-05-15,SCN878913,2026-04-24,EMAIL,5
4500000011,00040,ACKNOWLEDGED,2752,2026-06-14,SCN151151,2026-04-25,EMAIL,2
4500000011,00050,MISSING,0,2026-04-29,,,,4
4500000011,00060,ACKNOWLEDGED,2766,2026-06-28,SCN243658,2026-04-26,EMAIL,2
4500000012,00010,ACKNOWLEDGED,36,2026-04-19,SCN989597,2026-02-20,PHONE_NOTE,1
4500000012,00020,QTY_DISPUTE,368,2026-05-11,SCN560960,2026-02-17,PORTAL,1
4500000012,00030,REJECTED,29,,SCN200367,2026-02-12,PORTAL,1
4500000013,00010,ACKNOWLEDGED,649,2026-05-28,SCN617386,2026-04-19,REGRELLO,0
4500000013,00020,ACKNOWLEDGED,8,2026-05-03,SCN444431,2026-04-21,PHONE_NOTE,2
4500000013,00030,ACKNOWLEDGED,985,2026-06-20,SCN436405,2026-04-19,PHONE_NOTE,0
4500000014,00010,PRICE_DISPUTE,307,2026-04-20,SCN644365,2026-02-20,EMAIL,0
